environment,corpus_name,backend,seed,method,budget,n_queries,selected_probe_pairs,ndcg,recall_at_10,delta_vs_zero_budget,delta_vs_original_frozen_router,delta_recall_vs_zero_budget,delta_recall_vs_original_frozen_router,changed_action_fraction_vs_zero_budget,changed_action_fraction_vs_original_frozen_router,posterior_world_0,posterior_world_1,measured_onboarding_generation_seconds,onboarding_search_calls,onboarding_sample_calls,onboarding_llm_calls,onboarding_input_tokens,onboarding_output_tokens,mean_task_search_calls,mean_task_sample_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens
fiqa_dense,fiqa,dense,23,decision_value,0,150,0,0.3250366862359049,0.4181746031746032,0.0,-0.007491044938178078,0.0,-0.007888888888888891,0.0,0.4066666666666667,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5933333333333334,233.19333333333333,74.34666666666666
fiqa_dense,fiqa,dense,23,decision_value,4,150,4,0.3250366862359049,0.4181746031746032,0.0,-0.007491044938178078,0.0,-0.007888888888888891,0.0,0.4066666666666667,0.7613380479349682,0.23866195206503185,73.66888182834373,8.0,16.0,48.0,19861.0,5219.0,1.0,0.0,0.5933333333333334,233.19333333333333,74.34666666666666
fiqa_dense,fiqa,dense,23,decision_value,8,150,8,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9767866101475661,0.023213389852433916,73.66888182834373,16.0,16.0,48.0,19861.0,5219.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,23,decision_value,16,150,16,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9972943016254335,0.002705698374566442,73.66888182834373,34.0,16.0,48.0,19861.0,5219.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,23,decision_value,32,150,32,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9981216524784348,0.0018783475215652563,73.66888182834373,73.0,16.0,48.0,19861.0,5219.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,random,0,150,0,0.3250366862359049,0.4181746031746032,0.0,-0.007491044938178078,0.0,-0.007888888888888891,0.0,0.4066666666666667,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5933333333333334,233.19333333333333,74.34666666666666
fiqa_dense,fiqa,dense,47,random,4,150,4,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9892851711792061,0.010714828820793795,76.39591286834911,10.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,random,8,150,8,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9930539780007903,0.006946021999209654,76.39591286834911,18.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,random,16,150,16,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9775792983481933,0.022420701651806714,76.39591286834911,35.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,random,32,150,32,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.999607310952513,0.0003926890474870763,76.39591286834911,71.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,fixed,0,150,0,0.3250366862359049,0.4181746031746032,0.0,-0.007491044938178078,0.0,-0.007888888888888891,0.0,0.4066666666666667,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5933333333333334,233.19333333333333,74.34666666666666
fiqa_dense,fiqa,dense,47,fixed,4,150,4,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9079800806824359,0.09201991931756417,76.39591286834911,9.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,fixed,8,150,8,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.972842351463995,0.027157648536004952,76.39591286834911,18.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,fixed,16,150,16,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9759377408527822,0.024062259147217723,76.39591286834911,36.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,fixed,32,150,32,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9986250797394419,0.0013749202605580304,76.39591286834911,72.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,information_gain,0,150,0,0.3250366862359049,0.4181746031746032,0.0,-0.007491044938178078,0.0,-0.007888888888888891,0.0,0.4066666666666667,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5933333333333334,233.19333333333333,74.34666666666666
fiqa_dense,fiqa,dense,47,information_gain,4,150,4,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9295311534274797,0.07046884657252034,76.39591286834911,8.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,information_gain,8,150,8,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9982765667013617,0.0017234332986384184,76.39591286834911,16.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,information_gain,16,150,16,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9989384079119988,0.0010615920880011475,76.39591286834911,32.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,information_gain,32,150,32,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9997954991853559,0.00020450081464409785,76.39591286834911,74.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,decision_value,0,150,0,0.3250366862359049,0.4181746031746032,0.0,-0.007491044938178078,0.0,-0.007888888888888891,0.0,0.4066666666666667,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5933333333333334,233.19333333333333,74.34666666666666
fiqa_dense,fiqa,dense,47,decision_value,4,150,4,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9295311534274797,0.07046884657252034,76.39591286834911,8.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,decision_value,8,150,8,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9982467959040866,0.0017532040959133868,76.39591286834911,18.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,decision_value,16,150,16,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9999242159863564,7.578401364357965e-05,76.39591286834911,36.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,fiqa,dense,47,decision_value,32,150,32,0.3325277311740831,0.42606349206349203,0.007491044938178078,0.0,0.007888888888888891,0.0,0.4066666666666667,0.0,0.9999910948260946,8.905173905385518e-06,76.39591286834911,70.0,16.0,48.0,19549.0,5067.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333
nfcorpus_bm25,nfcorpus,bm25,11,random,0,65,0,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,random,4,65,4,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.7213719613109741,0.27862803868902586,97.41325913557375,8.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
