environment,action,bucket,n_queries,mean_ndcg,mean_recall,mean_delta_vs_original,strict_win_fraction_vs_original
scifact_dense,semantic,3,79,0.6723956857057276,0.7784810126582279,-0.0006837337894176297,0.11392405063291139
scifact_dense,hyde,-1,150,0.679462681467481,0.8644444444444446,0.03588881014195938,0.25333333333333335
scifact_dense,hyde,0,14,0.5525357164457408,0.6785714285714286,0.1506282571684963,0.2857142857142857
scifact_dense,hyde,1,21,0.6747890102932282,0.9523809523809523,0.006894557778559888,0.38095238095238093
scifact_dense,hyde,2,36,0.7022389614054441,0.8611111111111112,0.043618999571491034,0.2777777777777778
scifact_dense,hyde,3,79,0.6928193716851645,0.8755274261603374,0.019739952190019307,0.20253164556962025
scifact_dense,decomposed,-1,150,0.6458003281840142,0.8,0.002226456858492723,0.2
scifact_dense,decomposed,0,14,0.47803829037259343,0.5714285714285714,0.07613083109534895,0.21428571428571427
scifact_dense,decomposed,1,21,0.6734361577732295,0.8571428571428571,0.005541705258561178,0.23809523809523808
scifact_dense,decomposed,2,36,0.672813177637431,0.8333333333333334,0.014193215803477923,0.2777777777777778
scifact_dense,decomposed,3,79,0.6558744234708924,0.810126582278481,-0.01720499602425275,0.1518987341772152
