environment,seed,budget,method,ndcg,delta_vs_source_router,recall_at_10,delta_recall_at_10_vs_source_router,changed_action_fraction,measured_onboarding_generation_seconds,onboarding_search_calls,onboarding_sample_calls,onboarding_llm_calls,onboarding_input_tokens,onboarding_output_tokens,mean_task_search_calls,mean_task_sample_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens,corpus_name,backend,selected_probe_pairs
nfcorpus_dense,47,16,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,47,32,source_router,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,47,0,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,47,4,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,10.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,47,8,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,18.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,47,16,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,35.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,47,32,random,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,71.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,47,0,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,47,4,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,9.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,47,8,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,18.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
