environment,seed,budget,method,future_tasks,ndcg,recall_at_10,measured_onboarding_generation_seconds,amortized_setup_generation_seconds_per_future_task,total_search_calls,total_sample_calls,total_llm_calls,total_input_tokens,total_output_tokens
fiqa_bm25,11,0,learned_value,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,learned_value,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,learned_value,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,learned_value,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,4,learned_value,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,9.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,learned_value,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,18.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,learned_value,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,58.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,learned_value,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,208.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,learned_value,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,17.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,learned_value,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,26.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,learned_value,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,66.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,learned_value,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,216.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,learned_value,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,36.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,learned_value,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,45.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,learned_value,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,85.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,learned_value,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,235.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,learned_value,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,74.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,learned_value,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,83.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,learned_value,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,123.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,learned_value,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,273.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,23,0,source_router,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,source_router,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,source_router,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,source_router,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,4,source_router,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,4,source_router,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,4,source_router,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,4,source_router,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,8,source_router,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,8,source_router,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,8,source_router,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,8,source_router,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,16,source_router,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,16,source_router,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,16,source_router,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,16,source_router,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,32,source_router,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,32,source_router,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,32,source_router,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,32,source_router,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,random,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,random,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,random,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,random,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,4,random,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,9.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,random,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,18.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,random,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,58.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,random,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,208.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,random,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,18.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,random,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,27.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,random,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,67.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,random,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,217.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,random,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,35.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,random,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,44.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,random,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,84.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,random,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,234.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,random,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,72.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,random,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,81.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,random,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,121.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,random,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,271.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,0,fixed,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,fixed,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,fixed,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,fixed,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,4,fixed,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,10.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,fixed,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,19.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,fixed,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,59.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,fixed,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,209.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,fixed,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,19.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,fixed,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,28.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,fixed,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,68.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,fixed,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,218.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,fixed,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,37.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,fixed,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,46.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,fixed,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,86.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,fixed,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,236.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,fixed,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,73.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,fixed,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,82.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,fixed,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,122.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,fixed,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,272.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,0,information_gain,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,information_gain,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,information_gain,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,information_gain,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,4,information_gain,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,9.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,information_gain,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,18.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,information_gain,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,58.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,information_gain,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,208.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,information_gain,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,17.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,information_gain,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,26.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,information_gain,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,66.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,information_gain,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,216.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,information_gain,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,33.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,information_gain,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,42.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,information_gain,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,82.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,16,information_gain,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,232.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,information_gain,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,65.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,information_gain,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,74.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,information_gain,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,114.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,32,information_gain,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,264.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,0,learned_value,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,learned_value,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,learned_value,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,0,learned_value,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,23,4,learned_value,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,9.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,learned_value,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,18.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,learned_value,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,58.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,4,learned_value,200,0.25251415790289977,0.3233333333333333,73.66888182834373,0.3683444091417186,208.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,learned_value,1,0.25251415790289977,0.3233333333333333,73.66888182834373,73.66888182834373,18.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,learned_value,10,0.25251415790289977,0.3233333333333333,73.66888182834373,7.366888182834373,27.0,16.0,48.0,19861.0,5219.0
fiqa_bm25,23,8,learned_value,50,0.25251415790289977,0.3233333333333333,73.66888182834373,1.4733776365668745,67.0,16.0,48.0,19861.0,5219.0
